Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing costs,Defect rates,Transportation modes,Routes,Costs,Inspection results
Cosmetics,SKU-000165,25.73,0,204,5248.92,874,24.69,359,10.35,Amazon Logistics,29.93,Supplier A,Chicago,2436,85.43,6.64,Rail,Route E,99.44,Pass
Haircare,SKU-000166,124.6,1,165,20559.0,699,25.72,366,2.87,UPS,27.97,Supplier G,San Francisco,3714,16.65,1.31,Sea,Route D,241.11,Pass
Fragrances,SKU-000167,56.62,0,181,10248.22,729,28.2,366,12.93,FedEx,50.89,Supplier G,San Francisco,597,119.57,6.4,Sea,Route D,58.0,Pass
Cosmetics,SKU-000168,83.97,0,344,28885.68,440,3.47,264,12.44,USPS,89.25,Supplier F,Atlanta,3917,66.3,7.72,Road,Route E,65.1,Pass
Skincare,SKU-000169,64.85,0,50,3242.5,664,12.18,128,1.19,Amazon Logistics,40.94,Supplier B,Miami,4743,121.07,8.61,Road,Route E,267.33,Pass
Fragrances,SKU-000170,77.58,1,72,5585.76,983,3.06,552,13.54,USPS,76.22,Supplier H,Houston,231,41.8,0.13,Road,Route A,184.19,Pass
Skincare,SKU-000171,146.62,0,32,4691.84,134,7.11,109,1.41,DHL,14.2,Supplier D,Dallas,957,66.26,6.84,Air,Route A,430.3,Pass
Skincare,SKU-000172,66.45,1,369,24520.05,366,7.65,315,4.36,Amazon Logistics,50.23,Supplier F,Dallas,620,119.05,0.19,Air,Route C,320.97,Fail
Haircare,SKU-000173,117.62,0,84,9880.08,261,14.6,131,1.45,USPS,99.21,Supplier F,New York,129,146.21,7.07,Road,Route C,254.27,Pass
Fragrances,SKU-000174,100.45,0,57,5725.65,564,8.79,196,5.7,DHL,78.19,Supplier E,Los Angeles,3496,13.65,6.36,Sea,Route C,233.57,Pass
Fragrances,SKU-000175,136.1,1,169,23000.9,433,3.93,362,8.19,USPS,25.0,Supplier H,Atlanta,4704,122.81,1.48,Sea,Route B,273.76,Pass
Haircare,SKU-000176,188.0,0,322,60536.0,740,5.86,120,12.15,USPS,52.64,Supplier D,Miami,1360,48.6,7.66,Road,Route D,68.2,Pass
Cosmetics,SKU-000177,149.19,0,127,18947.13,391,5.27,420,5.73,Amazon Logistics,27.19,Supplier F,Boston,1658,84.86,0.68,Rail,Route B,451.76,Pass
Skincare,SKU-000178,50.84,1,109,5541.56,864,29.22,47,10.88,DHL,43.91,Supplier E,New York,115,47.06,8.26,Sea,Route E,499.24,Pass
Accessories,SKU-000179,15.92,1,389,6192.88,893,23.02,556,3.63,FedEx,79.11,Supplier F,San Francisco,3705,93.95,2.62,Sea,Route A,131.67,Pass
Skincare,SKU-000180,59.83,1,426,25487.58,87,29.07,77,11.51,UPS,78.27,Supplier B,Miami,1707,56.3,6.89,Road,Route E,104.17,Pass
Skincare,SKU-000181,123.06,1,417,51316.02,560,13.75,517,4.3,Amazon Logistics,26.67,Supplier C,Chicago,3617,53.37,9.24,Sea,Route E,114.61,Pass
Cosmetics,SKU-000182,19.77,1,176,3479.52,469,9.07,316,3.01,DHL,92.61,Supplier H,San Francisco,2116,10.5,3.4,Air,Route A,347.46,Pass
Skincare,SKU-000183,104.31,0,299,31188.69,800,24.15,153,3.6,USPS,61.29,Supplier E,Los Angeles,3674,26.31,5.03,Air,Route E,347.65,Fail
Haircare,SKU-000184,123.4,1,449,55406.6,218,10.46,350,3.55,DHL,41.09,Supplier C,Los Angeles,1843,137.98,4.63,Sea,Route C,431.57,Pass
Haircare,SKU-000185,73.51,0,165,12129.15,958,9.68,268,8.18,UPS,52.68,Supplier D,Dallas,3891,149.75,1.58,Air,Route A,388.32,Pass
Fragrances,SKU-000186,156.47,0,430,67282.1,392,7.74,569,12.83,UPS,62.48,Supplier B,Houston,3734,118.18,5.9,Rail,Route E,252.36,Pass
Accessories,SKU-000187,30.25,0,16,484.0,875,4.76,94,2.11,FedEx,58.19,Supplier E,Houston,1188,46.59,7.43,Sea,Route C,325.78,Fail
Skincare,SKU-000188,24.28,1,205,4977.4,355,8.44,187,10.9,FedEx,51.21,Supplier D,Boston,1461,63.35,9.17,Road,Route C,359.73,Pass
Skincare,SKU-000189,148.36,1,430,63794.8,591,11.3,522,10.16,UPS,52.97,Supplier F,San Francisco,3472,112.23,8.51,Air,Route D,280.73,Pass
Cosmetics,SKU-000190,104.14,0,65,6769.1,751,20.55,374,13.22,Amazon Logistics,21.76,Supplier G,San Francisco,4573,145.43,5.1,Rail,Route C,264.04,Fail
Haircare,SKU-000191,140.8,1,330,46464.0,918,2.81,244,4.42,Amazon Logistics,82.21,Supplier A,Los Angeles,575,71.04,7.19,Rail,Route B,340.29,Pass
Accessories,SKU-000192,92.62,1,202,18709.24,586,7.1,550,7.3,USPS,56.47,Supplier D,Chicago,1389,125.28,8.01,Air,Route A,300.86,Pass
Fragrances,SKU-000193,56.82,1,56,3181.92,161,24.46,165,13.96,FedEx,17.45,Supplier C,Chicago,428,146.38,4.93,Rail,Route A,339.77,Pass
Haircare,SKU-000194,165.63,1,157,26003.91,460,5.26,260,10.24,USPS,77.78,Supplier B,Seattle,4144,131.65,1.15,Sea,Route A,325.78,Fail
Fragrances,SKU-000195,161.89,0,284,45976.76,996,10.94,363,6.44,FedEx,93.58,Supplier B,Chicago,1939,37.94,4.38,Rail,Route E,373.64,Fail
Cosmetics,SKU-000196,141.99,0,166,23570.34,255,26.08,54,2.84,UPS,94.99,Supplier D,Miami,1286,6.16,8.42,Air,Route E,339.26,Pass
Cosmetics,SKU-000197,61.71,1,211,13020.81,234,5.49,20,4.67,Amazon Logistics,40.06,Supplier F,Houston,4633,76.35,5.97,Rail,Route B,283.88,Fail
Skincare,SKU-000198,122.14,0,453,55329.42,431,3.4,172,9.14,Amazon Logistics,17.87,Supplier A,Chicago,3514,82.05,7.24,Air,Route C,356.81,Fail
Accessories,SKU-000199,78.59,1,411,32300.49,545,15.05,448,11.05,UPS,54.25,Supplier H,Atlanta,3636,34.18,1.85,Air,Route E,252.27,Pass
Fragrances,SKU-000200,27.4,1,485,13289.0,428,9.77,527,2.74,USPS,15.7,Supplier C,San Francisco,1873,46.28,9.64,Rail,Route C,158.75,Pass
Haircare,SKU-000201,184.29,0,428,78876.12,96,17.34,145,9.39,USPS,93.73,Supplier D,Chicago,2163,115.95,4.04,Air,Route C,50.64,Pass
Cosmetics,SKU-000202,36.0,0,436,15696.0,935,24.31,510,8.7,DHL,22.44,Supplier D,Seattle,1944,73.2,6.54,Air,Route E,301.98,Pass
Skincare,SKU-000203,190.55,0,488,92988.4,789,4.98,501,8.2,FedEx,29.01,Supplier G,Boston,2658,51.02,0.19,Road,Route E,315.79,Pass
Skincare,SKU-000204,94.74,1,484,45854.16,600,17.84,364,10.66,USPS,43.63,Supplier B,Boston,1362,95.28,1.27,Sea,Route B,487.42,Fail
Fragrances,SKU-000205,45.18,0,135,6099.3,577,15.66,240,12.72,UPS,41.4,Supplier C,Los Angeles,3391,99.65,7.82,Air,Route D,212.67,Pass
Cosmetics,SKU-000206,112.96,1,404,45635.84,553,5.18,44,5.52,USPS,80.49,Supplier A,Chicago,1118,116.56,9.68,Sea,Route A,227.36,Pass
Accessories,SKU-000207,175.86,0,314,55220.04,71,19.1,547,13.45,Amazon Logistics,48.35,Supplier B,San Francisco,1889,27.72,3.2,Road,Route E,140.81,Pass
Cosmetics,SKU-000208,149.12,0,378,56367.36,262,8.94,201,3.25,FedEx,21.22,Supplier D,San Francisco,3624,112.52,0.37,Road,Route E,81.74,Fail
Fragrances,SKU-000209,163.25,1,303,49464.75,359,15.15,518,3.42,DHL,30.38,Supplier B,Houston,3604,91.92,3.61,Road,Route C,397.76,Pass
Fragrances,SKU-000210,135.17,1,73,9867.41,710,3.39,61,4.73,FedEx,53.37,Supplier B,Boston,906,13.35,0.17,Road,Route D,162.36,Pass
Cosmetics,SKU-000211,141.53,1,334,47271.02,802,14.33,500,2.67,Amazon Logistics,19.01,Supplier E,Los Angeles,2766,117.73,1.92,Sea,Route E,324.01,Fail
Fragrances,SKU-000212,171.35,1,401,68711.35,321,9.89,458,4.22,Amazon Logistics,63.11,Supplier B,Chicago,504,60.55,7.52,Rail,Route D,359.5,Pass
Cosmetics,SKU-000213,57.44,1,427,24526.88,620,24.85,421,2.49,Amazon Logistics,58.75,Supplier F,Boston,693,52.91,9.37,Rail,Route A,262.06,Pass
Haircare,SKU-000214,102.99,1,185,19053.15,848,2.65,565,12.5,Amazon Logistics,72.9,Supplier B,Boston,4049,69.97,0.87,Sea,Route C,444.36,Fail
Cosmetics,SKU-000215,52.03,1,125,6503.75,987,13.14,364,2.95,UPS,94.08,Supplier H,San Francisco,4207,55.2,5.58,Air,Route B,249.71,Pass
Cosmetics,SKU-000216,197.66,1,449,88749.34,251,14.29,64,11.46,DHL,91.66,Supplier F,Chicago,3380,54.05,2.54,Sea,Route A,178.21,Fail
Fragrances,SKU-000217,189.37,0,213,40335.81,81,22.03,40,1.67,Amazon Logistics,94.88,Supplier C,New York,2312,122.17,1.39,Air,Route D,453.21,Pass
Fragrances,SKU-000218,17.49,1,495,8657.55,492,17.65,89,14.28,Amazon Logistics,28.25,Supplier B,Chicago,1642,23.05,2.19,Air,Route D,437.7,Fail
Skincare,SKU-000219,144.06,1,330,47539.8,211,20.35,67,10.96,USPS,17.5,Supplier A,Miami,713,145.74,5.78,Rail,Route A,123.82,Pass
Skincare,SKU-000220,185.8,0,40,7432.0,816,23.53,510,1.1,DHL,33.72,Supplier F,Boston,968,85.47,0.65,Road,Route D,61.68,Pass
Haircare,SKU-000221,44.31,1,397,17591.07,303,26.0,570,11.69,FedEx,90.03,Supplier F,Houston,911,31.52,4.34,Rail,Route B,90.49,Pass
Skincare,SKU-000222,117.91,0,122,14385.02,570,10.1,306,8.2,DHL,97.35,Supplier D,New York,1922,24.03,1.35,Rail,Route B,178.95,Pass
Cosmetics,SKU-000223,183.94,0,374,68793.56,700,16.6,29,11.91,DHL,86.64,Supplier C,Seattle,4962,90.77,2.73,Sea,Route D,487.52,Pass
Fragrances,SKU-000224,16.45,1,443,7287.35,529,25.36,561,8.31,DHL,15.45,Supplier B,Los Angeles,4277,96.78,1.91,Sea,Route D,301.33,Fail
Skincare,SKU-000225,142.51,0,334,47598.34,59,29.69,293,9.97,Amazon Logistics,95.01,Supplier G,Chicago,1844,12.69,8.83,Air,Route B,217.97,Pass
Skincare,SKU-000226,66.5,1,423,28129.5,775,26.8,400,12.01,Amazon Logistics,45.22,Supplier A,Houston,2356,40.24,7.08,Sea,Route D,449.92,Fail
Haircare,SKU-000227,185.64,0,385,71471.4,554,11.77,348,6.67,UPS,5.88,Supplier D,Seattle,4142,120.34,8.68,Air,Route E,253.91,Pass
Haircare,SKU-000228,194.5,0,353,68658.5,834,6.66,498,1.04,FedEx,47.03,Supplier C,Seattle,3767,12.2,3.83,Air,Route C,191.86,Pass
Cosmetics,SKU-000229,189.41,0,452,85613.32,885,15.19,34,12.9,USPS,9.38,Supplier H,Boston,621,128.99,3.13,Road,Route E,473.55,Fail
Fragrances,SKU-000230,100.1,1,76,7607.6,609,22.51,535,6.33,DHL,56.67,Supplier F,Miami,1625,100.43,3.81,Road,Route D,432.28,Pass
Haircare,SKU-000231,173.79,1,84,14598.36,485,15.28,210,7.94,FedEx,37.16,Supplier A,Boston,1569,67.99,0.19,Rail,Route D,429.65,Pass
Skincare,SKU-000232,170.46,0,54,9204.84,160,15.01,187,1.11,FedEx,49.98,Supplier H,Los Angeles,2775,55.23,7.25,Road,Route C,280.53,Pass
Fragrances,SKU-000233,70.63,0,269,18999.47,202,25.31,540,7.89,UPS,63.25,Supplier B,New York,1613,7.79,3.5,Air,Route D,405.25,Fail
Fragrances,SKU-000234,167.49,1,163,27300.87,684,11.48,156,14.81,USPS,87.54,Supplier G,San Francisco,4976,124.66,3.13,Sea,Route C,130.71,Pass
Skincare,SKU-000235,17.03,1,164,2792.92,966,25.93,173,4.9,DHL,67.88,Supplier E,Atlanta,1551,25.69,5.98,Road,Route B,307.95,Pass
Haircare,SKU-000236,123.29,0,439,54124.31,918,12.8,407,6.54,USPS,46.23,Supplier E,New York,4754,49.88,4.36,Road,Route C,492.73,Pass
Skincare,SKU-000237,53.7,0,372,19976.4,151,10.52,228,10.62,UPS,82.85,Supplier C,Los Angeles,3530,87.52,9.81,Road,Route C,180.93,Pass
Fragrances,SKU-000238,32.91,1,457,15039.87,802,14.17,291,12.41,Amazon Logistics,91.03,Supplier G,San Francisco,3107,40.67,3.56,Road,Route E,407.46,Fail
Accessories,SKU-000239,24.62,1,484,11916.08,882,23.11,162,6.84,FedEx,16.38,Supplier A,Seattle,3224,77.09,6.14,Air,Route D,270.72,Fail
Accessories,SKU-000240,142.29,1,243,34576.47,240,4.65,88,5.34,DHL,55.53,Supplier D,New York,1853,122.35,3.12,Air,Route B,67.91,Fail
Cosmetics,SKU-000241,74.58,1,60,4474.8,778,6.7,266,14.13,Amazon Logistics,32.03,Supplier A,San Francisco,1712,73.23,9.91,Rail,Route A,393.36,Fail
Skincare,SKU-000242,147.71,1,315,46528.65,612,28.59,280,10.48,UPS,9.47,Supplier G,Chicago,3375,142.6,4.45,Sea,Route C,125.86,Pass
Skincare,SKU-000243,22.42,0,271,6075.82,853,6.09,98,2.67,USPS,68.51,Supplier H,Boston,655,127.89,6.34,Rail,Route A,334.16,Pass
Cosmetics,SKU-000244,69.91,1,324,22650.84,130,17.46,544,1.96,FedEx,86.96,Supplier F,Atlanta,4351,53.29,1.27,Rail,Route D,88.55,Pass
Cosmetics,SKU-000245,112.5,0,134,15075.0,538,17.8,349,7.77,DHL,20.48,Supplier E,Houston,2149,62.99,7.33,Road,Route C,476.09,Fail
Cosmetics,SKU-000246,160.24,1,408,65377.92,944,15.2,208,4.08,Amazon Logistics,82.18,Supplier C,Chicago,924,66.38,2.69,Sea,Route A,181.28,Fail
Fragrances,SKU-000247,70.56,0,254,17922.24,137,19.7,114,4.56,Amazon Logistics,86.07,Supplier B,New York,2949,95.8,4.49,Road,Route E,151.91,Pass
Skincare,SKU-000248,128.92,1,39,5027.88,243,7.66,27,13.29,FedEx,91.86,Supplier A,Dallas,3130,46.59,8.83,Air,Route A,108.11,Pass
Fragrances,SKU-000249,178.34,1,435,77577.9,153,17.03,86,2.25,USPS,30.2,Supplier E,San Francisco,1181,145.54,9.71,Rail,Route E,475.7,Fail
Cosmetics,SKU-000250,127.01,0,494,62742.94,832,11.79,515,11.02,UPS,90.88,Supplier D,Seattle,3425,93.26,4.25,Sea,Route B,370.36,Pass
Skincare,SKU-000251,54.26,0,131,7108.06,145,20.19,210,4.8,USPS,35.46,Supplier C,Seattle,592,62.91,8.35,Air,Route D,383.75,Fail
Fragrances,SKU-000252,14.64,1,134,1961.76,472,5.1,385,11.64,USPS,57.47,Supplier B,Dallas,4864,98.53,0.53,Rail,Route A,274.73,Pass
Fragrances,SKU-000253,175.32,1,46,8064.72,940,17.56,540,11.11,USPS,9.8,Supplier A,New York,174,62.33,8.48,Sea,Route C,263.63,Pass
Cosmetics,SKU-000254,14.04,1,179,2513.16,247,6.37,136,1.1,FedEx,9.17,Supplier D,Seattle,3091,123.58,6.3,Rail,Route D,99.51,Pass
Skincare,SKU-000255,176.19,1,133,23433.27,50,9.08,286,8.13,FedEx,73.44,Supplier B,Miami,3460,87.34,4.89,Sea,Route A,301.93,Pass
Cosmetics,SKU-000256,110.5,1,366,40443.0,456,7.34,504,2.95,UPS,47.23,Supplier F,Seattle,470,11.09,8.9,Rail,Route C,161.11,Pass
Skincare,SKU-000257,188.42,0,44,8290.48,427,6.3,528,13.13,USPS,29.35,Supplier E,Atlanta,4782,30.63,8.45,Road,Route C,489.72,Pass
Accessories,SKU-000258,161.77,0,96,15529.92,216,24.95,317,13.2,FedEx,23.09,Supplier F,Miami,428,130.42,2.97,Rail,Route C,408.46,Pass
Haircare,SKU-000259,199.61,1,143,28544.23,558,9.29,183,6.86,UPS,68.65,Supplier E,Los Angeles,4785,86.62,7.91,Rail,Route C,235.85,Pass
Haircare,SKU-000260,76.64,0,205,15711.2,687,27.89,395,7.22,UPS,5.04,Supplier D,Los Angeles,1890,142.8,0.99,Sea,Route A,118.1,Pass
Haircare,SKU-000261,155.77,0,283,44082.91,362,29.13,287,5.25,USPS,81.56,Supplier H,San Francisco,876,15.5,8.23,Sea,Route B,403.4,Pass
Cosmetics,SKU-000262,86.37,0,210,18137.7,642,17.57,568,11.03,DHL,12.53,Supplier F,Miami,2122,47.81,6.75,Road,Route E,104.92,Pass
Accessories,SKU-000263,101.18,1,378,38246.04,467,5.15,93,6.02,USPS,23.19,Supplier E,Chicago,4774,33.06,0.88,Sea,Route E,135.2,Pass
Skincare,SKU-000264,129.23,0,294,37993.62,812,11.86,527,4.75,DHL,41.69,Supplier C,San Francisco,4416,85.31,6.83,Rail,Route E,145.18,Pass
Fragrances,SKU-000265,176.0,1,86,15136.0,730,24.13,92,7.05,UPS,51.06,Supplier D,Chicago,1287,60.5,5.81,Sea,Route B,300.6,Pass
Skincare,SKU-000266,196.98,0,68,13394.64,526,11.65,327,2.28,FedEx,38.72,Supplier E,Atlanta,1603,27.8,5.95,Sea,Route C,404.18,Fail
Fragrances,SKU-000267,155.97,1,440,68626.8,122,3.52,218,11.45,Amazon Logistics,35.47,Supplier A,Boston,3391,98.2,2.91,Sea,Route C,191.44,Pass
Skincare,SKU-000268,89.38,0,135,12066.3,190,17.15,149,1.18,UPS,96.57,Supplier E,New York,3425,82.76,2.66,Road,Route D,88.1,Pass
Accessories,SKU-000269,90.06,1,410,36924.6,631,25.51,591,10.02,FedEx,65.95,Supplier F,Miami,287,44.84,7.63,Road,Route E,259.04,Fail
Fragrances,SKU-000270,150.14,1,118,17716.52,311,24.08,506,3.56,UPS,7.23,Supplier C,Dallas,1314,74.57,2.57,Air,Route E,386.65,Pass
Cosmetics,SKU-000271,55.37,0,233,12901.21,389,6.08,170,4.25,USPS,45.87,Supplier B,Houston,3386,113.13,4.46,Road,Route C,149.75,Pass
Skincare,SKU-000272,30.99,1,287,8894.13,357,20.51,225,9.9,DHL,88.13,Supplier H,New York,3546,34.76,6.95,Road,Route E,148.97,Pass
Skincare,SKU-000273,77.38,1,77,5958.26,294,7.39,198,14.9,UPS,33.64,Supplier B,Atlanta,1209,47.47,0.8,Road,Route C,476.25,Pass
Fragrances,SKU-000274,64.58,1,78,5037.24,564,7.33,216,11.89,FedEx,13.98,Supplier E,Miami,2621,55.19,5.95,Rail,Route C,479.37,Pass
Cosmetics,SKU-000275,66.3,1,174,11536.2,386,26.35,108,4.16,USPS,77.05,Supplier B,Los Angeles,3979,113.28,5.89,Air,Route C,495.71,Pass
Cosmetics,SKU-000276,54.39,1,498,27086.22,624,8.24,453,3.46,Amazon Logistics,62.57,Supplier E,New York,630,127.8,6.84,Rail,Route A,413.45,Pass
Accessories,SKU-000277,18.0,1,314,5652.0,610,8.63,202,13.13,USPS,59.18,Supplier C,Chicago,1170,59.58,3.7,Road,Route A,134.68,Fail
Cosmetics,SKU-000278,13.4,1,406,5440.4,125,1.02,228,7.22,DHL,10.09,Supplier B,Dallas,3236,48.01,4.49,Road,Route A,145.39,Pass
Cosmetics,SKU-000279,197.67,1,171,33801.57,929,26.25,512,2.92,USPS,18.35,Supplier F,New York,1062,133.97,3.3,Air,Route A,203.1,Pass
Cosmetics,SKU-000280,91.28,0,374,34138.72,224,23.99,149,13.07,Amazon Logistics,64.14,Supplier F,Houston,1505,149.91,8.08,Air,Route B,193.16,Fail
Haircare,SKU-000281,83.02,0,351,29140.02,158,19.19,32,12.43,FedEx,24.74,Supplier A,Atlanta,3237,102.2,1.31,Sea,Route D,480.44,Pass
Accessories,SKU-000282,139.13,1,318,44243.34,232,22.76,125,14.77,UPS,52.89,Supplier E,Atlanta,616,148.55,9.63,Road,Route D,405.08,Pass
Skincare,SKU-000283,51.47,1,388,19970.36,241,5.41,394,13.74,DHL,56.76,Supplier B,San Francisco,3264,100.7,6.35,Road,Route C,375.8,Fail
Fragrances,SKU-000284,190.49,0,352,67052.48,114,14.29,118,12.93,Amazon Logistics,31.93,Supplier F,Atlanta,1591,111.35,8.87,Rail,Route E,133.68,Pass
Skincare,SKU-000285,159.41,0,444,70778.04,898,11.19,211,1.74,DHL,95.1,Supplier G,San Francisco,3789,61.36,4.26,Sea,Route A,459.29,Pass
Accessories,SKU-000286,26.99,0,396,10688.04,523,3.72,344,2.46,USPS,85.03,Supplier C,Atlanta,4328,67.78,3.32,Road,Route D,422.54,Pass
Fragrances,SKU-000287,89.34,1,51,4556.34,832,15.1,486,8.97,DHL,73.63,Supplier H,Houston,4509,25.9,9.01,Rail,Route D,123.64,Fail
Accessories,SKU-000288,177.03,0,363,64261.89,149,27.7,386,8.44,Amazon Logistics,12.41,Supplier C,Atlanta,690,124.3,0.99,Air,Route A,442.03,Fail
Cosmetics,SKU-000289,189.5,1,425,80537.5,593,2.16,337,7.41,UPS,15.08,Supplier G,Dallas,1643,140.0,1.17,Rail,Route B,172.51,Pass
Fragrances,SKU-000290,98.81,1,118,11659.58,913,9.45,163,6.56,UPS,51.81,Supplier G,Boston,3156,95.4,2.99,Road,Route B,86.39,Pass
Cosmetics,SKU-000291,126.55,0,60,7593.0,177,7.02,403,7.04,DHL,20.27,Supplier A,Los Angeles,2306,54.83,9.6,Rail,Route D,345.57,Pass
Skincare,SKU-000292,41.74,1,259,10810.66,501,7.91,235,8.97,FedEx,97.94,Supplier C,Dallas,3439,27.33,6.33,Rail,Route B,344.21,Pass
Skincare,SKU-000293,198.32,1,350,69412.0,963,27.34,380,1.03,DHL,20.06,Supplier C,Atlanta,2808,43.45,5.54,Sea,Route A,92.72,Pass
Fragrances,SKU-000294,54.02,1,439,23714.78,418,14.57,343,4.65,USPS,51.31,Supplier B,Miami,4129,42.03,7.05,Sea,Route D,193.48,Fail
Fragrances,SKU-000295,189.12,1,392,74135.04,900,14.52,34,8.26,UPS,39.59,Supplier E,Chicago,847,93.96,4.17,Air,Route A,496.77,Pass
Accessories,SKU-000296,133.43,0,30,4002.9,92,23.06,236,11.11,UPS,65.74,Supplier D,Boston,900,142.03,7.58,Sea,Route B,355.29,Fail
Accessories,SKU-000297,125.47,0,309,38770.23,933,5.48,511,3.44,UPS,17.26,Supplier H,Los Angeles,1597,12.0,3.93,Rail,Route A,378.53,Pass
Cosmetics,SKU-000298,107.41,1,148,15896.68,468,15.13,566,8.66,FedEx,45.88,Supplier C,Chicago,1479,5.15,8.26,Sea,Route B,145.81,Pass
Fragrances,SKU-000299,53.83,1,368,19809.44,537,13.47,202,11.0,FedEx,31.1,Supplier H,Dallas,779,92.03,2.67,Road,Route B,85.45,Fail
Skincare,SKU-000300,43.54,0,333,14498.82,127,18.31,289,7.22,Amazon Logistics,89.34,Supplier H,Houston,3870,46.19,2.78,Rail,Route A,174.61,Pass
Accessories,SKU-000301,51.89,1,394,20444.66,875,29.99,486,1.38,DHL,8.86,Supplier H,Houston,3442,132.68,5.22,Rail,Route B,162.0,Fail
Accessories,SKU-000302,45.42,0,101,4587.42,850,23.31,538,7.29,DHL,91.8,Supplier C,Chicago,996,52.45,4.31,Rail,Route C,155.54,Pass
Skincare,SKU-000303,158.12,1,456,72102.72,319,12.54,561,5.15,USPS,84.13,Supplier D,Miami,1646,47.01,6.48,Road,Route A,136.74,Pass
Accessories,SKU-000304,76.52,1,289,22114.28,723,25.0,486,14.02,UPS,33.27,Supplier C,Chicago,3226,44.08,3.64,Rail,Route C,308.64,Pass
Cosmetics,SKU-000305,20.99,0,134,2812.66,750,5.95,324,2.74,FedEx,79.98,Supplier B,Dallas,783,26.0,2.31,Sea,Route A,197.65,Pass
Fragrances,SKU-000306,194.13,0,492,95511.96,808,1.88,163,10.13,USPS,7.97,Supplier B,Chicago,1395,89.32,4.7,Road,Route B,419.16,Pass
Skincare,SKU-000307,177.92,0,406,72235.52,949,6.93,130,1.74,USPS,96.85,Supplier D,Los Angeles,1485,29.39,5.61,Rail,Route B,132.78,Fail
Fragrances,SKU-000308,186.27,0,120,22352.4,777,10.87,251,7.25,FedEx,55.03,Supplier F,Miami,1042,66.57,1.43,Sea,Route D,259.08,Fail
Accessories,SKU-000309,199.03,1,363,72247.89,364,15.81,519,8.76,DHL,33.81,Supplier C,Seattle,3380,71.84,5.57,Sea,Route D,56.15,Fail
Accessories,SKU-000310,43.04,0,148,6369.92,974,18.84,573,5.17,UPS,39.45,Supplier F,New York,1133,7.97,3.19,Air,Route C,266.76,Pass
Skincare,SKU-000311,85.29,1,493,42047.97,900,27.41,292,7.37,DHL,11.31,Supplier H,Seattle,2886,7.44,3.92,Sea,Route B,75.13,Pass
Cosmetics,SKU-000312,154.07,0,444,68407.08,951,15.79,192,3.29,USPS,98.99,Supplier C,San Francisco,2333,80.43,2.79,Sea,Route D,489.98,Pass
Haircare,SKU-000313,142.24,0,282,40111.68,938,15.54,26,5.26,UPS,8.73,Supplier E,Chicago,3745,105.93,9.31,Air,Route B,405.77,Pass
Skincare,SKU-000314,39.24,1,108,4237.92,994,2.46,174,9.7,Amazon Logistics,67.22,Supplier C,Houston,1720,141.61,6.83,Air,Route A,270.55,Pass
Haircare,SKU-000315,165.01,0,261,43067.61,217,2.01,541,5.23,USPS,47.06,Supplier B,Seattle,3635,30.97,2.62,Road,Route D,88.96,Fail
Haircare,SKU-000316,52.64,0,347,18266.08,388,16.98,565,13.6,DHL,95.15,Supplier A,Atlanta,3305,19.97,6.45,Sea,Route C,316.6,Fail
Cosmetics,SKU-000317,52.53,0,113,5935.89,242,13.71,567,9.8,DHL,28.37,Supplier G,Dallas,2982,12.55,8.49,Road,Route D,391.44,Fail
Haircare,SKU-000318,112.03,0,223,24982.69,502,25.34,537,7.14,DHL,55.55,Supplier A,Seattle,270,68.23,4.02,Road,Route B,135.82,Pass
Haircare,SKU-000319,122.66,1,258,31646.28,332,5.66,234,1.54,FedEx,50.82,Supplier A,Boston,1653,95.36,8.3,Rail,Route E,305.69,Pass
Cosmetics,SKU-000320,120.22,1,161,19355.42,385,1.72,153,7.99,USPS,71.77,Supplier A,Miami,3997,126.88,1.54,Road,Route E,416.39,Pass
Haircare,SKU-000321,27.38,0,259,7091.42,439,14.02,304,11.71,UPS,11.46,Supplier G,Dallas,1695,103.98,8.23,Road,Route B,395.71,Pass
Haircare,SKU-000322,176.72,0,284,50188.48,574,7.89,145,4.72,DHL,23.41,Supplier F,Houston,1723,35.21,5.4,Road,Route A,411.35,Fail
Haircare,SKU-000323,60.46,0,174,10520.04,289,2.44,458,12.29,DHL,25.38,Supplier G,San Francisco,4222,71.96,2.23,Road,Route D,445.7,Fail
Skincare,SKU-000324,34.61,1,496,17166.56,881,22.01,171,4.53,FedEx,75.12,Supplier F,Seattle,1191,137.0,4.07,Air,Route E,471.96,Fail
Skincare,SKU-000325,178.86,1,350,62601.0,532,4.24,350,12.53,UPS,22.97,Supplier G,Miami,2937,52.38,9.88,Sea,Route A,232.48,Fail
Skincare,SKU-000326,191.57,1,17,3256.69,708,18.64,557,2.19,USPS,59.48,Supplier G,New York,507,77.32,7.84,Rail,Route B,305.95,Fail
Cosmetics,SKU-000327,173.8,1,293,50923.4,765,9.15,402,13.13,Amazon Logistics,25.45,Supplier C,Miami,4269,143.99,5.75,Air,Route A,405.8,Pass
Accessories,SKU-000328,163.81,0,14,2293.34,641,6.03,134,7.99,FedEx,86.85,Supplier F,Miami,779,111.53,1.15,Rail,Route B,363.71,Pass
Haircare,SKU-000329,134.5,0,154,20713.0,940,12.01,501,5.15,USPS,94.51,Supplier C,Dallas,336,113.42,4.18,Rail,Route D,497.98,Pass
